"","GeneSymbol","log2FoldChange","pvalue","padj"
"377","GANAB",0.0406850530003246,0.655493534005141,0.905943980327076
"378","MAL2",0.0398632352188535,0.829003945876456,0.956361360552405
"379","MYL12B",-0.22591761720475,0.133491510885108,0.545793539161879
"380","ELOB",-0.390070994488197,0.0360925785586852,0.344357981370885
"381","IGLV3-21",0.321391214457827,0.537560030325332,0.856200885358801
"382","SCARB2",0.350280584052884,0.0345011605800277,0.338019132547749
"383","GNB1",0.0247548515287161,0.813094563268073,0.953055100956017
"384","RPN2",-0.120263776307942,0.289750127911098,0.704680251138959
"385","LAMC1",0.0565875859082229,0.740025767625515,0.936209445985395
"386","ATP5MC2",-0.330631563787332,0.0489857001010346,0.382832599584135
"387","H3-3B",-0.0460333477285759,0.673770019121484,0.911953701563215
"388","LMNA",0.192696409615862,0.189530790416819,0.61443703583328
"389","COX6B1",-0.418560228352823,0.0205258262679277,0.281780527376022
"390","AKT2",0.460736639081533,0.00821729203374188,0.205507645404776
"391","YWHAQ",-0.17910597410773,0.160967563172862,0.580828734119626
"392","IGHG3",0.803057472951282,0.0968222403879633,0.491076993626082
"393","FGFRL1",0.0593857601213663,0.781908967268053,0.942237535168322
"394","FOXP4",0.2860369344628,0.157545341852006,0.576212196857306
"395","NOTCH3",0.424531410944777,0.0355437443052689,0.343109356104828
"396","LGALS1",-0.09917381695488,0.663728659254871,0.90862190165843
"397","GSPT1",-0.223706410673583,0.0114298774110353,0.231287575992366
"398","RPL39",-0.446145040338728,0.0379633730149466,0.350336244882041
"399","GAB2",0.436411703162823,0.0608208070917556,0.414223242543371
"400","LAMA3",0.676936700604209,0.0283173863218172,0.315842423775988
"401","CLSTN1",0.146672956192958,0.311865366221945,0.722398370903261
"402","CYC1",-0.130934514916973,0.525386226662975,0.849928303243256
"403","RERE",0.34657164798013,0.0295426313623962,0.321386611778817
"404","NDUFB7",0.042802651534876,0.856708182541122,0.964874332391528
"405","LAPTM4A",-0.179879325662719,0.166789574288807,0.58880970440901
"406","SNHG29",-0.264482460473054,0.199359333882886,0.62691267346978
"407","GAS5",-0.183160351292352,0.418230749369101,0.795060833303843
"408","HNRNPC",-0.239490662002253,0.00620941407689421,0.186610962734175
"409","FLOT1",-0.213436772046659,0.103512659712269,0.499004376970667
